[%Y-%m-%d	%H:%M:%S];[V];[V];[V];[V]
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:11;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:12;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:13;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
2021-10-02	22:04:14;10.5;10.5;10.5;10.5
